Route,Year,Month,MonthStart,Flights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour
CNF -> FLN,2025,10,2025-10-01,34,E2,2,101622,2988.8823529411766,575.7617647058823,5641.764705882353,59542.32352941176,69018,2024439,5.194010270420369,1915.8705656649545
CNF -> FLN,2025,11,2025-11-01,14,A320,2,43089,3077.785714285714,570.2785714285714,5678.571428571428,60885.642857142855,69331,852399,5.39723131901898,1958.949139146196
CNF -> FOR,2024,1,2024-01-01,26,A320,2,135853,5225.115384615385,1032.9769230769232,8760.0,67092.30769230769,70347,1744400,5.057581633083196,2147.963955947086
CNF -> FOR,2024,2,2024-02-01,19,A320,1,97872,5151.1578947368425,1033.8526315789475,8772.631578947368,66134.36842105263,68699,1256553,4.982416226309215,2114.6620095050753
CNF -> FOR,2024,3,2024-03-01,19,A320,1,99318,5227.263157894737,1034.6052631578948,8845.263157894737,66727.84210526316,70827,1267829,5.052674644441308,2127.984607579896
CNF -> FOR,2024,4,2024-04-01,23,A320,3,117460,5106.95652173913,1033.9913043478261,8775.652173913044,64031.95652173913,69554,1472735,4.93913931703517,2096.2858065565897
CNF -> FOR,2024,5,2024-05-01,21,A320,3,109138,5197.047619047619,1028.9190476190477,8897.142857142857,65402.857142857145,70267,1373460,5.051024741254649,2103.116947905334
CNF -> FOR,2024,6,2024-06-01,26,A320,3,133808,5146.461538461538,1032.176923076923,8889.23076923077,64522.61538461538,69953,1677588,4.985948251895686,2086.513941761806
CNF -> FOR,2024,7,2024-07-01,32,A320,2,169060,5283.125,1028.3375,8891.25,66715.59375,69893,2134899,5.137563626135333,2139.427989656639
CNF -> FOR,2024,8,2024-08-01,23,A320,1,119343,5188.826086956522,1031.1217391304347,8979.130434782608,65179.565217391304,69501,1499130,5.03120429537595,2080.0009395025686
CNF -> FOR,2024,9,2024-09-01,25,A320,1,130179,5207.16,1028.528,8779.2,66985.76,70862,1674644,5.062822469167937,2135.4210565645712
CNF -> FOR,2024,10,2024-10-01,35,A320,2,180860,5167.428571428572,1027.1028571428571,8725.714285714286,66507.17142857143,70029,2327751,5.031475681971301,2132.236304066457
CNF -> FOR,2024,11,2024-11-01,50,A320,2,257784,5155.68,1030.194,8654.4,66539.12,73801,3326956,5.004575648515882,2146.6812481509014
CNF -> FOR,2024,12,2024-12-01,42,A320,2,218183,5194.833333333333,1026.7452380952382,8502.857142857143,69273.5,72592,2909487,5.060310969216943,2200.6110649828856
CNF -> FOR,2025,1,2025-01-01,51,A320,1,272451,5342.176470588235,1028.858823529412,8591.764705882353,70308.86274509804,72050,3585752,5.192212489122662,2238.981739830938
CNF -> FOR,2025,2,2025-02-01,45,A320,1,240099,5335.533333333334,1031.9622222222222,8713.333333333334,69808.02222222222,72827,3141361,5.170213195171809,2204.384561753539
CNF -> FOR,2025,3,2025-03-01,33,A320,1,178383,5405.545454545455,1029.1303030303031,8734.545454545454,70972.93939393939,72493,2342107,5.25243159771575,2227.7812126218246
CNF -> FOR,2025,4,2025-04-01,25,A320,2,133179,5327.16,1040.712,8743.2,69843.96,71712,1746099,5.122929368726941,2193.9586764784194
CNF -> FOR,2025,5,2025-05-01,29,A320,1,152199,5248.241379310345,1026.7241379310344,8648.275862068966,68184.06896551725,71636,1977338,5.11149272455725,2184.9939103372762
CNF -> FOR,2025,6,2025-06-01,28,A320,1,146948,5248.142857142857,1028.8142857142857,8652.857142857143,68499.25,72249,1917979,5.101288740453199,2184.514630769452
CNF -> FOR,2025,7,2025-07-01,32,A320,2,162932,5091.625,1027.396875,8754.375,66600.75,69588,2131224,4.955972761276656,2094.140546299723
CNF -> FOR,2025,8,2025-08-01,39,A320,3,197809,5072.025641025641,1021.7076923076922,8860.0,65108.58974358974,69287,2539235,4.964142376250066,2061.734205699032
CNF -> FOR,2025,9,2025-09-01,35,A320,1,182258,5207.371428571429,1028.557142857143,8677.714285714286,67845.91428571429,69580,2374607,5.06307295252318,2160.512305167715
CNF -> FOR,2025,10,2025-10-01,34,A320,1,175833,5171.558823529412,1028.4352941176471,8648.823529411764,67714.67647058824,69632,2302299,5.028822819090884,2153.4326233837182
CNF -> FOR,2025,11,2025-11-01,14,A320,1,72417,5172.642857142857,1036.857142857143,8554.285714285714,68187.35714285714,69566,954623,4.987307317891044,2176.72794232736
CNF -> GIG,2024,1,2024-01-01,48,E1,4,69938,1457.0416666666667,219.35625000000002,2512.5,43928.020833333336,62355,2108545,6.629883257771001,2102.263402754565
CNF -> GIG,2024,2,2024-02-01,35,E1,3,51099,1459.9714285714285,215.7514285714286,2427.4285714285716,45860.08571428571,66294,1605103,6.765295650083022,2165.5007646815725
CNF -> GIG,2024,3,2024-03-01,21,E1,2,30733,1463.4761904761904,218.68571428571425,2508.5714285714284,45009.76190476191,53683,945205,6.705803608099028,2107.410331128779
CNF -> GIG,2024,4,2024-04-01,60,E1,3,89587,1493.1166666666666,213.5366666666667,2411.0,43459.78333333333,60317,2607587,6.994741732579195,2231.680518650483
CNF -> GIG,2024,5,2024-05-01,56,E1,4,79330,1416.607142857143,212.73392857142858,2358.214285714286,46285.892857142855,63221,2592010,6.655121372539594,2180.848138213083
CNF -> GIG,2024,6,2024-06-01,68,E1,4,94968,1396.5882352941176,211.5735294117647,2386.764705882353,44736.69117647059,58632,3042095,6.598947605496846,2126.692713710421
CNF -> GIG,2024,7,2024-07-01,71,E1,4,104901,1477.4788732394366,215.91408450704225,2456.6197183098593,43953.633802816905,66078,3120708,6.845582230078866,2193.8168416490544
CNF -> GIG,2024,8,2024-08-01,93,E1,3,136406,1466.731182795699,219.96774193548387,2487.7419354838707,45336.79569892473,63864,4216322,6.691688947532377,2131.948871723681
CNF -> GIG,2024,9,2024-09-01,103,E1,5,145472,1412.3495145631068,214.73009708737865,2456.5048543689322,50809.796116504855,68136,5233409,6.583174687239319,2092.612569224334
CNF -> GIG,2024,10,2024-10-01,82,E1,4,121278,1479.0,215.0658536585366,2488.5365853658536,45295.34146341463,63012,3714218,6.876803435931674,2159.1203888065943
CNF -> GIG,2024,11,2024-11-01,85,E1,4,132145,1554.6470588235295,223.66235294117647,2578.5882352941176,46415.294117647056,65509,3945300,6.960984042043251,2185.9141688216396
CNF -> GIG,2024,12,2024-12-01,69,E1,3,108874,1577.8840579710145,226.82608695652175,2617.391304347826,46609.68115942029,67553,3216068,6.9197555733560545,2169.586554653953
CNF -> GIG,2025,1,2025-01-01,65,E1,3,99942,1537.5692307692307,222.30307692307693,2531.076923076923,45947.63076923077,61168,2986596,6.904658289853954,2192.668576318871
CNF -> GIG,2025,2,2025-02-01,76,E1,4,107243,1411.092105263158,210.46973684210528,2386.5789473684213,45815.30263157895,63009,3481963,6.702376413210618,2139.673859956406
CNF -> GIG,2025,3,2025-03-01,81,E1,3,122287,1509.716049382716,215.41728395061727,2458.5185185185187,46504.79012345679,60251,3766888,7.000823868616921,2217.2291883932407
CNF -> GIG,2025,4,2025-04-01,94,E1,4,141880,1509.3617021276596,214.5755319148936,2458.0851063829787,45915.82978723404,65452,4316088,7.031978910842341,2220.123836476201
CNF -> GIG,2025,5,2025-05-01,57,E1,3,81823,1435.4912280701753,216.1140350877193,2411.5789473684213,48711.05263157895,65036,2776530,6.658118329249405,2144.468468693806
CNF -> GIG,2025,6,2025-06-01,98,E1,2,147126,1501.2857142857142,215.21428571428572,2405.5102040816328,45820.163265306124,53837,4490376,6.9797485494286216,2249.4427621929653
CNF -> GIG,2025,7,2025-07-01,52,E1,3,77727,1494.75,215.9269230769231,2487.6923076923076,45329.153846153844,59687,2357116,6.924238251307278,2166.665708334095
CNF -> GIG,2025,8,2025-08-01,107,E1,3,163104,1524.3364485981308,217.60093457943924,2508.785046728972,43915.28971962617,60274,4698936,7.005322719380547,2205.4988969562337
CNF -> GIG,2025,9,2025-09-01,121,E1,3,184495,1524.7520661157025,213.2586776859504,2451.0743801652893,44377.61157024794,64810,5369691,7.151192398138412,2243.3512050134395
CNF -> GIG,2025,10,2025-10-01,119,E1,3,182365,1532.4789915966387,216.08823529411765,2490.252100840336,44236.84033613445,58227,5264184,7.089367348441812,2220.032462528887
CNF -> GIG,2025,11,2025-11-01,48,E1,2,74485,1551.7708333333333,216.67708333333334,2480.0,44312.833333333336,60969,2127016,7.158930641078393,2255.9040732503236
CNF -> GNM,2024,1,2024-01-01,18,ATR,1,18135,1007.5,368.94444444444446,5890.0,20861.333333333332,22762,375504,2.727788385843859,615.5842215727398
CNF -> GNM,2024,2,2024-02-01,23,ATR,1,22765,989.7826086956521,365.69565217391306,5853.913043478261,20637.869565217392,22661,474671,2.705403737712355,608.4505292185266
CNF -> GNM,2024,3,2024-03-01,22,ATR,1,21208,964.0,359.77272727272725,5686.363636363636,20925.227272727272,22993,460355,2.679858138610107,610.5914361519142
CNF -> GNM,2024,4,2024-04-01,24,ATR,1,23181,965.875,361.2916666666667,5640.0,20925.291666666668,22950,502207,2.6734004267661313,616.6107768158821
CNF -> GNM,2024,5,2024-05-01,23,ATR,1,22479,977.3478260869565,357.4782608695652,5762.608695652174,21215.260869565216,22780,487951,2.733666225568415,610.9106523869857
CNF -> GNM,2024,6,2024-06-01,25,ATR,1,25391,1015.64,360.04,5767.2,22345.0,22960,558625,2.8210795032821063,633.8219796515892
CNF -> GNM,2024,7,2024-07-01,20,ATR,1,19858,992.9,362.75,5757.0,22060.45,22993,441209,2.7375312594261985,621.3224368710171
CNF -> GNM,2024,8,2024-08-01,17,ATR,1,17462,1027.1764705882354,362.4117647058824,5774.117647058823,21854.764705882353,22835,371531,2.8336351338660255,640.1838139204134
CNF -> GNM,2024,9,2024-09-01,14,ATR,1,13850,989.2857142857143,360.35714285714283,5605.714285714285,21520.428571428572,22997,301286,2.7442301605027977,635.1970228300321
CNF -> GNM,2024,10,2024-10-01,17,ATR,1,16794,987.8823529411765,361.88235294117646,5548.235294117647,21509.058823529413,22723,365654,2.7304417779542005,640.9173413330984
CNF -> GNM,2024,11,2024-11-01,15,ATR,1,15119,1007.9333333333333,359.6,5524.0,21516.4,22755,322746,2.803402940848973,656.9235810430484
CNF -> GNM,2024,12,2024-12-01,21,ATR,1,22045,1049.7619047619048,362.14285714285717,5645.714285714285,22267.333333333332,22992,467614,2.8989692561304636,669.6742580407415
CNF -> GNM,2025,1,2025-01-01,19,ATR,1,18919,995.7368421052631,364.36842105263156,5681.0526315789475,20740.315789473683,22418,394066,2.7335296377864093,631.8051621751559
CNF -> GNM,2025,2,2025-02-01,22,ATR,1,22155,1007.0454545454545,360.6363636363636,5732.727272727273,21111.590909090908,22738,464455,2.7919015405943672,632.8982339380141
CNF -> GNM,2025,3,2025-03-01,21,ATR,1,21100,1004.7619047619048,361.14285714285717,5654.285714285715,21483.428571428572,22592,451152,2.781911789126315,640.5972615260183
