Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,AvgMonthlyTOW_kg,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTotalTOW_kg,TroughMonthTotalTOW_kg,VolatilityScore
REC -> GRU,23,3190,138.69565217391303,25.667497265588963,0.18506345990863518,2024-08-01,171,2025-11-01,63,108,2.7142857142857144,0.14567261823633632,77832.67357183683,75665.6783625731,77800.93650793651,12938831,4901459,15.516839542010715
CNF -> JJD,19,114,6.0,4.364932024550597,0.7274886707584328,2025-01-01,21,2025-05-01,1,20,21.0,0.49122807017543857,64931.6845807701,67169.95238095238,65366.0,1410569,65366,15.437296189723227
GYN -> VCP,23,2225,96.73913043478261,19.580863309351518,0.20240892409666736,2025-09-01,132,2025-11-01,35,97,3.7714285714285714,0.14776746458231557,60607.65500510306,62290.666666666664,60159.77142857143,8222368,2105592,15.36579596409866
CNF -> UDI,23,2171,94.3913043478261,20.10567544886763,0.21300347090002553,2024-08-01,124,2025-11-01,36,88,3.4444444444444446,0.15909318486772275,22457.92144224897,22168.225806451614,24086.61111111111,2748860,867118,15.352590557535716
NVT -> VCP,23,2161,93.95652173913044,19.88112117578003,0.2115991610564279,2025-01-01,128,2025-11-01,40,88,3.2,0.16063416695169302,49686.944233188966,50021.40625,46139.375,6402740,1845575,15.242212481482701
MOC -> CNF,23,2244,97.56521739130434,20.654141782674678,0.2116957491094107,2025-08-01,127,2025-11-01,41,86,3.097560975609756,0.16507788886305508,20656.2954381534,20531.496062992126,20182.170731707316,2607500,827469,15.148844836670193
VCP -> GYN,23,2108,91.65217391304348,18.30801367814978,0.19975536745609343,2025-09-01,134,2025-11-01,36,98,3.7222222222222223,0.13806616615790773,61505.29909777655,62331.14179104478,61747.305555555555,8352373,2222903,15.135549916591117
MCZ -> CNF,23,998,43.391304347826086,13.666013478173996,0.31494820641082355,2025-01-01,67,2025-11-01,19,48,3.526315789473684,0.2735906595800296,62460.864269931,64841.59701492537,66659.94736842105,4344387,1266539,15.070712846175516
ARU -> VCP,23,721,31.347826086956523,10.849198310002183,0.3460909308322472,2024-06-01,52,2025-11-01,9,43,5.777777777777778,0.28535246939636966,20907.9622660343,20291.846153846152,20632.555555555555,1055176,185693,14.937708610069704
REC -> FOR,23,2312,100.52173913043478,20.73407102629031,0.20626454740686725,2024-12-01,127,2025-11-01,40,87,3.175,0.16063637731307356,48998.298482575534,49461.48818897638,56324.925,6281609,2252997,14.903166862184118
PNZ -> REC,23,829,36.04347826086956,11.532480636915535,0.31996025892528024,2024-07-01,58,2025-11-01,10,48,5.8,0.26663869512770755,33413.02799383933,37377.10344827586,48993.5,2167872,489935,14.899718402075706
JPA -> VCP,23,551,23.956521739130434,8.482607581396312,0.35408343806191506,2025-01-01,53,2025-11-01,9,44,5.888888888888889,0.23372524264183694,68116.59095699372,64044.698113207545,69966.11111111111,3394369,629695,14.828780666448925
CNF -> BSB,23,984,42.78260869565217,12.257939828816298,0.28651688624265736,2024-10-01,67,2025-11-01,11,56,6.090909090909091,0.2178331565924355,50640.843064957815,50334.55223880597,51604.90909090909,3372415,567654,14.778485700984838
VIX -> VCP,23,1809,78.65217391304348,17.31199306751693,0.22010825901210027,2024-07-01,102,2025-11-01,22,80,4.636363636363637,0.15646405652894946,60800.94002428765,59793.529411764706,61006.454545454544,6098940,1342142,14.767441273620962
REC -> THE,23,748,32.52173913043478,11.142825983047064,0.3426270021525167,2024-09-01,51,2025-11-01,9,42,5.666666666666667,0.3001627528481748,60102.03509095339,55914.470588235294,50490.555555555555,2851638,454415,14.696756075027706
CNF -> MOC,23,2257,98.1304347826087,19.89822877812536,0.2027732662369886,2025-08-01,130,2025-11-01,42,88,3.0952380952380953,0.1572306447573732,21253.52835946093,21121.292307692307,21336.5,2745768,896133,14.689094751649213
CNF -> SSA,23,1992,86.6086956521739,17.919479637327356,0.20690162231853876,2025-01-01,113,2025-11-01,26,87,4.346153846153846,0.15007857517024623,61161.42790139337,61124.19469026549,59078.692307692305,6907034,1536046,14.66183421021886
FOR -> REC,23,2280,99.1304347826087,20.486059624569066,0.20665761901977564,2024-09-01,124,2025-11-01,40,84,3.1,0.16407322654462245,47806.09388550282,50510.25806451613,55173.475,6263272,2206939,14.645481276819005
