Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,AvgPassengers,TotalPassengerProxy,AvgPayloadKg,TotalPayloadKg,ExactLoadJoinShare,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgFuelPerNM,FuelPerFlightKg,FuelPerPassengerProxy,FuelPerPassengerNMProxy,TowRegime,TowRegimeRank,MedianMonthlyFlights,AvgMonthlyFlights,MedianRouteTOW_kg,MedianRoutePassengers,MedianRoutePayloadKg,MedianTowRegimeRank,MedianFuelPerNM,MedianFuelPerPassengerProxy,MedianFuelPerPassengerNMProxy,FlightsPctVsMedian,TowPctVsMedian,PassengerPctVsMedian,PayloadPctVsMedian,RegimeShiftVsMedian,FuelPerNMPctVsMedian,FuelPerPassengerPctVsMedian,FuelPerPassengerNMPctVsMedian
MGF -> VCP,2025,5,2025-05-01,88,ATR,3,24492.18181818182,21738.0,69.5909090909091,6124.0,6012.818181818182,529128.0,1.0,79927,908.2613636363636,292.7056818181818,3.095525135903996,908.2613636363636,13.051436969301111,0.04458894302368955,ATR,0,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,0.29411764705882354,-0.08811457249207744,-0.00410206032285467,0.0,0.0,-0.10190907535238086,-0.12533909488426853,-0.1142409028920282
MGF -> VCP,2025,6,2025-06-01,83,ATR,3,23295.397590361445,21754.0,67.02409638554217,5563.0,5784.734939759036,480133.0,1.0,71706,863.9277108433735,296.24819277108435,2.9112159780493707,863.9277108433735,12.889807657738631,0.04351016469389499,ATR,0,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,0.22058823529411764,-0.13267287706952308,-0.04083506924895849,-0.037932835346465965,0.0,-0.15538187067192044,-0.13617091671944243,-0.13567082821837675
MGF -> VCP,2025,7,2025-07-01,80,ATR,3,22425.6625,21575.5,66.525,5322.0,5758.3,460664.0,1.0,65118,813.975,291.725,2.7885410381907008,813.975,12.235625704622322,0.04194232823591506,ATR,0,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,0.17647058823529413,-0.16505458812248164,-0.0479775116822429,-0.04232926626449554,0.0,-0.19097300475476153,-0.18001186546469983,-0.1668158904526497
MGF -> VCP,2025,8,2025-08-01,93,ATR,3,23072.15053763441,21792.0,67.83870967741936,6309.0,5865.408602150537,545483.0,1.0,80114,861.4408602150538,294.73870967741937,2.920892021119305,861.4408602150538,12.698367411634173,0.04308347358082712,ATR,0,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,0.36764705882352944,-0.14098474310200332,-0.029177343985529017,-0.02451588842539562,0.0,-0.15257460337926784,-0.14900056140356105,-0.1441470447291425
MGF -> VCP,2025,9,2025-09-01,98,ATR,3,24433.01020408163,21822.0,68.94897959183673,6757.0,5970.785714285715,585137.0,1.0,91372,932.3673469387755,298.0765306122449,3.1120832626575554,932.3673469387755,13.52256918750925,0.04536609829607882,ATR,0,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,0.4411764705882353,-0.09031763194266623,-0.013288551401869188,-0.006990477054431296,0.0,-0.09710513976353481,-0.09376548859276305,-0.09880271786892733
MGF -> VCP,2025,10,2025-10-01,47,E1,3,33550.51063829787,41944.0,83.68085106382979,3933.0,7291.0,342677.0,1.0,66183,1408.1489361702127,297.35744680851064,4.682739147944715,1408.1489361702127,16.827612509534706,0.05659051989497068,E1,1,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,-0.3088235294117647,0.2491423574931032,0.19753554384569505,0.21257616304561464,1.0,0.35858225878470223,0.12772676473451852,0.12417035273540472
MGF -> VCP,2025,11,2025-11-01,19,E1,3,36275.36842105263,43262.0,82.0,1558.0,7157.1578947368425,135986.0,1.0,26964,1419.157894736842,299.5,4.713069297496588,1419.157894736842,17.306803594351734,0.057785654739070894,E1,1,68.0,66.69565217391305,26858.836734693876,69.87755102040816,6012.818181818182,0.0,3.446783672954469,14.921710680065436,0.05033980815920908,-0.7205882352941176,0.35059342961772105,0.17348130841121495,0.1903166998095775,1.0,0.3673818100271727,0.15984044761520863,0.1479116995502431
MII -> VCP,2024,1,2024-01-01,20,ATR,1,20238.9,20340.5,43.0,860.0,3544.0,70880.0,0.25,10674,533.7,178.6,2.9870845537138435,533.7,12.411627906976744,0.06949399723951144,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.2,0.03496775203506576,0.0,0.0,0.0,0.04298486607482075,0.03837076513132851,0.04317712831849823
MII -> VCP,2024,2,2024-02-01,24,ATR,1,19972.708333333332,19881.0,43.0,1032.0,3544.0,85056.0,0.5833333333333334,12653,527.2083333333334,178.66666666666666,2.9526365092754046,527.2083333333334,12.260658914728682,0.06862309094064561,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,-0.04,0.021355362485215214,0.0,0.0,0.0,0.03095682054444082,0.02574052926165601,0.03010391958143047
MII -> VCP,2024,3,2024-03-01,26,ATR,1,20163.53846153846,20161.5,43.0,1118.0,3544.0,92144.0,0.6153846153846154,13564,521.6923076923077,175.53846153846155,2.9718497206920422,521.6923076923077,12.132379248658319,0.06911521920795712,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.04,0.031113947626157934,0.0,0.0,0.0,0.03766539821470946,0.015008507966254542,0.03749127637555778
MII -> VCP,2024,4,2024-04-01,46,ATR,1,19655.282608695652,19854.5,43.0,1978.0,3544.0,163024.0,0.5434782608695652,23643,513.9782608695652,176.2608695652174,2.9156168284783788,513.9782608695652,11.95298281092012,0.06781416000275353,ATR,0,25.0,26.434782608695652,19555.102040816328,43.0,3544.0,0.0,2.8639768906287837,11.95298281092012,0.06661763889659766,0.84,0.0051229887560915194,0.0,0.0,0.0,0.018030850045810804,0.0,0.01796102542771112
