Route,Recommendation,Months,TotalFlights,AvgPriorityScore,MaxPriorityScore,AvgPassengers,AvgTOW_kg,E2FuelAdvantage,AvgFuelPerNM,EstimatedFuelSavedKg
CNF -> UNA,Maintain current aircraft assignment,23,76,7.257163819863831,35.0,92.19565217391305,49824.66594202899,,5.757046979334333,3052.544507294239
PTO -> VCP,Maintain current aircraft assignment,15,203,3.1969282268080352,15.632362193282747,51.85,20768.36939051689,,2.625927258660124,3000.1707197088117
QNS -> VCP,Current seasonal downgauge appears effective,1,11,10.813588977181597,10.813588977181597,45.3815092970717,20262.0,0.18022648295302662,2.8063782427463306,2968.3330852214026
CNF -> JPA,Maintain current aircraft assignment,20,398,19.24972035285422,49.76682837627199,152.13764094367872,66214.74763690351,0.1847102974992699,5.003205047809167,2942.29192729936
VCP -> GRU,Maintain current aircraft assignment,14,55,79.19312304434057,353.051544625354,0.8749452861952862,43376.06904761905,0.3251781432370927,7.644301708244934,2785.2932890226957
REC -> CWB,High-priority larger-aircraft review,1,8,64.66213474048686,64.66213474048686,141.75,59632.0,,4.700434813926844,2782.5326250264934
VCP -> OAL,Maintain current aircraft assignment,9,44,4.029230757854457,14.70367228925575,123.0,57646.01084656085,,4.55418251930637,2771.1324571492746
VCP -> PTO,Maintain current aircraft assignment,15,202,4.382376935429718,21.806717127881484,50.891666666666666,21776.545663410663,,2.946202165078885,2730.4392642248
VCP -> UBA,Maintain current aircraft assignment,14,275,3.33297534013187,10.609603882254937,49.91987179487179,20748.394640311693,,2.9795557329471998,2599.7415613620005
CNF -> CFB,Maintain current aircraft assignment,13,188,19.857452957330388,53.71201004403385,60.41506972559604,23312.921776705076,0.17341022884737725,3.1988161999207656,2595.90620890499
MDZ -> VCP,Maintain current aircraft assignment,4,27,12.398418034203676,30.236907832557414,132.0,67652.80833333333,,4.535822048305723,2516.7540644586024
JPA -> CNF,Current seasonal downgauge appears effective,3,36,12.16764005846135,12.167640058461348,131.86630036630035,57031.64102564102,0.20279400097435576,4.675501582499812,2470.4867520359176
OAL -> VCP,Maintain current aircraft assignment,9,52,2.1813700192563283,5.955462146607645,120.06349206349208,54629.176719576724,,4.153893877653228,2449.3949184359612
VCP -> GEL,Maintain current aircraft assignment,11,107,5.077746897871219,21.0,48.0,22491.74891774892,,2.8958225110992033,2447.123987859982
