Route,Recommendation,Months,TotalFlights,AvgFlightsPctVsMedian,AvgTOWPctVsMedian,AvgPriorityScore
FOR -> REC,Strong review for smaller aircraft,1,40,-0.6226415094339622,0.19831372704623426,2.529628298732815
CNF -> LEC,Maintain current assignment,10,51,-0.15,0.00029421481583605106,2.510832955010937
POA -> CNF,Review smaller aircraft,1,22,-0.40540540540540543,0.05997710762022337,2.4926642579560663
GRU -> VCP,Current seasonal downgauge appears justified,1,2,-0.3333333333333333,-0.09828277169697493,2.477549692568804
REC -> FEC,Maintain current assignment,6,80,-0.047619047619047616,0.00397199037566836,2.463051997778454
UDI -> REC,Maintain current assignment,15,66,-0.26666666666666666,0.010684474713412764,2.42895772015851
REC -> THE,Maintain current assignment,8,235,-0.08203125,0.029102772932091042,2.42213237030301
VCP -> GRU,Maintain current assignment,4,15,-0.0625,-0.0024724717836944257,2.413137983019845
OPS -> VCP,Maintain current assignment,22,435,-0.05844155844155843,0.003421074955464015,2.3935802920982443
REC -> VIX,Maintain current assignment,22,490,-0.07196969696969696,0.0024092296993937054,2.3786740013996654
CAW -> VCP,Maintain current assignment,13,273,-0.125,0.0030720942409146867,2.3767524341128152
RAO -> REC,Maintain current assignment,17,125,-0.1830065359477124,-0.0007543083935179469,2.3465126225204527
REC -> RAO,Maintain current assignment,16,117,-0.1875,-0.0016371383422292723,2.335941154164244
MCZ -> CNF,Strong review for smaller aircraft,1,19,-0.5777777777777777,0.06297904447295195,2.3100807331080078
BVH -> VCP,Maintain current assignment,9,57,-0.09523809523809523,-0.00044266540730316387,2.291851107362073
POJ -> CNF,Maintain current assignment,11,128,-0.030303030303030307,0.0020511829644914285,2.27219877095547
CNF -> CGH,Maintain current assignment,12,1252,-0.10826210826210826,-0.003756059206624724,2.2680147689937122
CNF -> FLN,Review smaller aircraft,2,32,-0.36,0.09876818475221133,2.2500385328689823
VCP -> PLU,Maintain current assignment,5,10,0.0,0.10398380750605327,2.233460668324431
JDO -> VCP,Maintain current assignment,11,186,-0.11004784688995216,0.00952472847288499,2.230475545937189
UBA -> CNF,Maintain current assignment,15,357,-0.048,0.004096571615058813,2.2295942748188926
VCP -> CGH,Review smaller aircraft,2,6,-0.25,0.15173025361751843,2.2171497763937786
JPA -> REC,Review smaller aircraft,1,26,-0.48,0.08138131599819608,2.2150038946725896
REC -> MCZ,Maintain current assignment,13,915,-0.1519925857275255,0.002216752424282225,2.198430331830455
LEC -> CNF,Maintain current assignment,9,43,-0.20370370370370372,0.00993654761426792,2.194044965053199
SMT -> CNF,Review smaller aircraft,1,11,-0.42105263157894735,0.09082261744803391,2.182256282025009
CPV -> CNF,Review smaller aircraft,1,12,-0.3333333333333333,0.07797338621985284,2.1552204091414158
BVB -> VCP,Review smaller aircraft,1,2,-0.3333333333333333,0.02360571048628251,2.152509819228561
SJP -> REC,Maintain current assignment,16,115,-0.2013888888888889,0.00010846236734229995,2.1451578620678635
IOS -> CNF,Strong review for smaller aircraft,1,17,-0.5,0.13497086654030466,2.1367565399310378
AAX -> CNF,Maintain current assignment,12,73,-0.13095238095238096,-0.004854171438214876,2.114976358472813
CNF -> JPA,Maintain current assignment,13,203,-0.17813765182186236,0.021089875145437295,2.103140182288627
BPS -> CNF,Review smaller aircraft,3,154,-0.3739837398373984,0.06882174554008078,2.061027604715672
VCP -> AFL,Maintain current assignment,8,51,-0.08928571428571427,-0.002689744175122708,2.0581404283493545
REC -> CNF,Review smaller aircraft,1,98,-0.27941176470588236,0.06027683621208849,2.0288625742767206
VIX -> REC,Maintain current assignment,23,538,-0.1003344481605351,-0.0008482352445969996,1.9827345835501888
CNF -> CUR,Maintain current assignment,17,136,-0.1111111111111111,-0.009271484285325027,1.9820651641348963
ROO -> VCP,Current seasonal downgauge appears justified,1,8,-0.5294117647058824,-0.05107063380162057,1.938715489220816
MVD -> VCP,Maintain current assignment,6,6,0.0,-0.04484751923881144,1.9378549341330953
IZA -> VCP,Maintain current assignment,16,407,-0.09151785714285715,0.0017602685816097946,1.8573411493580965
VCP -> FOR,Review smaller aircraft,2,69,-0.33653846153846156,0.044602743112022586,1.8462073003836794
CLV -> CNF,Maintain current assignment,15,95,-0.09523809523809522,0.0035961133870964033,1.8151216493689755
REC -> NAT,Review smaller aircraft,1,60,-0.27710843373493976,0.05478322380557404,1.8004386705148743
