Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTowRegime,TroughMonthTowRegime,PeakMonthRegimeRank,TroughMonthRegimeRank,MaxRegimeRankShift,MinRegimeRankShift,MaxAvgTOW_kg,MinAvgTOW_kg,DeltaAvgTOW_kg,VolatilityScore
VCP -> QNS,6,341,56.833333333333336,26.238754204844067,0.4616789596160246,2024-08-01,86,2024-05-01,8,78,10.75,0.3841642228739003,67134.52325581395,25198.0,A320,Nearest: ATR,3,0,0.0,-3.0,68387.85507246378,25198.0,43189.855072463775,23.79108000436106
VCP -> JTC,23,944,41.04347826086956,16.786325337502664,0.40898885885864544,2024-05-01,82,2025-11-01,10,72,8.2,0.3233235077376566,19730.256097560974,20198.8,ATR,ATR,0,0,0.0,0.0,22563.083333333332,19495.24193548387,3067.841397849461,23.776253147706562
BPS -> VCP,23,921,40.04347826086956,16.640647617178026,0.415564489896954,2025-07-01,84,2025-11-01,14,70,6.0,0.3138365670584903,60408.119047619046,62874.92857142857,Nearest: A320,A320,3,3,0.0,-1.0,64769.5,52814.75,11954.75,23.73495548408599
UDI -> VCP,23,1560,67.82608695652173,25.05585442984992,0.36941323838881296,2025-09-01,108,2025-11-01,33,75,3.272727272727273,0.3191192865105909,26856.833333333332,27097.484848484848,Nearest: ATR,Nearest: ATR,0,0,0.0,-1.0,47343.72222222222,21645.990291262136,25697.731930960083,23.52407151561996
CWB -> VCP,23,3589,156.04347826086956,34.01211837856256,0.21796565135328475,2024-08-01,223,2025-11-01,51,172,4.372549019607843,0.16242867699613556,47489.793721973096,51392.8431372549,Nearest: E1,E2,1,2,1.0,0.0,52173.594405594406,45757.08552631579,6416.508879278619,23.40017551938379
VCP -> BPS,23,889,38.65217391304348,16.60437002628387,0.4295843763830473,2025-07-01,79,2024-04-01,15,64,5.266666666666667,0.3317846138797867,63642.45569620253,53794.666666666664,A320,E2,3,2,0.0,-1.0,67285.14893617021,53794.666666666664,13490.482269503547,23.339221095555157
JTC -> VCP,23,955,41.52173913043478,16.441912417110945,0.3959832309880123,2024-05-01,83,2025-11-01,10,73,8.3,0.3115866150694287,19189.289156626506,20150.4,ATR,ATR,0,0,0.0,0.0,22545.090909090908,19157.06557377049,3388.025335320417,23.218646749461158
CNF -> GRU,23,1368,59.47826086956522,20.821956565997706,0.35007675513007835,2024-10-01,99,2025-11-01,16,83,6.1875,0.2920162725654717,58916.656565656565,48428.0625,Nearest: E2,Nearest: E1,2,1,0.0,-1.0,58916.656565656565,48428.0625,10488.594065656565,23.03296949331771
MCZ -> VCP,23,1066,46.34782608695652,17.47945053273346,0.37713636233852676,2025-01-01,88,2025-11-01,12,76,7.333333333333333,0.28493351823150337,69268.47727272728,67523.66666666667,A320,A320,3,3,0.0,0.0,71388.58620689655,62290.22535211268,9098.360854783874,22.924524951008546
VCP -> LDB,23,1338,58.17391304347826,19.986195614045045,0.34355941638492976,2024-06-01,104,2025-11-01,20,84,5.2,0.27269773185156304,21194.615384615383,42867.3,ATR,E1,0,1,1.0,0.0,46765.80392156863,21125.908163265307,25639.895758303323,22.67016043395785
