Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,MaxTOW_kg,MinTOW_kg,TotalTOW_kg,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgFuelPerNM,AvgFuelPerHour,FuelPerFlightKg,TowRegime,TowRegimeRank,RegimeDistanceKg,MedianMonthlyFlights,AvgMonthlyFlights,StdMonthlyFlights,MedianRouteAvgTOW_kg,MedianTowRegimeRank,MedianRouteFuelPerNM,FlightsAboveMedian,FlightsPctVsMedian,AvgTOWAboveMedian_kg,AvgTOWPctVsMedian,RegimeRankShiftVsMedian,FuelPerNMPctVsRouteMedian
REC -> GRU,2024,7,2024-07-01,164,A321,2,79516.5731707317,82105.0,86381,67161,13040718,1186288,7233.463414634146,1171.7365853658537,10312.682926829268,6.172526920635501,2526.2435834397666,7233.463414634146,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,26.0,0.18840579710144928,1715.6366627951938,0.022051619682240984,0.0,0.011874480449295692
REC -> GRU,2024,8,2024-08-01,171,A321,2,75665.6783625731,74451.0,85439,64426,12938831,1163930,6806.608187134503,1171.2105263157894,10176.842105263158,5.810649224302966,2408.608713383879,6806.608187134503,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,33.0,0.2391304347826087,-2135.2581453634048,-0.0274451470792461,0.0,-0.047448842181911456
REC -> GRU,2024,9,2024-09-01,171,A321,2,76612.11695906433,77665.0,84805,56351,13100672,1192162,6971.707602339181,1170.2643274853801,10272.982456140351,5.956670422670682,2444.3387644942986,6971.707602339181,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,33.0,0.2391304347826087,-1188.819548872183,-0.015280272991969848,0.0,-0.023511299886396598
REC -> GRU,2024,10,2024-10-01,137,A321,2,78650.43795620438,81546.0,86003,65136,10775110,988353,7214.255474452555,1175.4934306569344,10299.85401459854,6.13521056540193,2523.1984425498877,7214.255474452555,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-1.0,-0.007246376811594203,849.5014482678671,0.010918910316474264,0.0,0.005757136928606329
REC -> GRU,2024,11,2024-11-01,117,A321,2,77865.52136752137,80389.0,85383,62988,9110266,844655,7219.273504273504,1176.0700854700856,10360.0,6.135477227328461,2508.8432373524433,7219.273504273504,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-21.0,-0.15217391304347827,64.58485958486563,0.0008301295907701226,0.0,0.005800851342789189
REC -> GRU,2024,12,2024-12-01,138,A321,3,71799.82608695653,71454.0,84498,50398,9908376,912483,6612.195652173913,1170.618115942029,10385.652173913044,5.644858313259971,2292.441598310927,6612.195652173913,Nearest: A320,3,5155.826086956527,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,0.0,0.0,-6001.110420979981,-0.07713416689229448,-1.0,-0.07462727236647745
REC -> GRU,2025,1,2025-01-01,159,A321,3,75662.28301886792,80562.0,86410,52671,12030303,1104439,6946.157232704402,1181.874213836478,10335.471698113208,5.872539240402363,2423.35103332506,6946.157232704402,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,21.0,0.15217391304347827,-2138.653489068587,-0.02748878850385589,0.0,-0.03730309009515868
REC -> GRU,2025,2,2025-02-01,117,A321,2,77885.43589743589,80321.0,86571,62751,9112596,826596,7064.923076923077,1183.5153846153846,10179.48717948718,5.967251255332027,2499.3085424301385,7064.923076923077,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-21.0,-0.15217391304347827,84.49938949938223,0.0010860973311132625,0.0,-0.021776763174029136
REC -> GRU,2025,3,2025-03-01,123,A321,2,77453.05691056911,79519.0,85648,57706,9526726,881547,7167.048780487805,1185.3089430894308,10370.731707317073,6.0422257873038845,2487.8511399979734,7167.048780487805,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-15.0,-0.10869565217391304,-347.8795973673987,-0.004471406296399932,0.0,-0.009486040660964434
REC -> GRU,2025,4,2025-04-01,96,A321,2,77207.19791666667,79463.5,85327,61577,7411891,689997,7187.46875,1180.6572916666667,10451.875,6.085761517375768,2476.75173696904,7187.46875,A321,4,0.0,138.0,138.69565217391303,26.244366984535407,77800.93650793651,4.0,6.100091503340173,-42.0,-0.30434782608695654,-593.7385912698373,-0.00763150956684525,0.0,-0.0023491427885235366
