Route,MonthsObserved,RegimesObserved,FirstRegime,LastRegime,MinAvgTOW,MaxAvgTOW,DeltaTOW
FLN -> VCP,23,3,E2,E2,49218.53333333333,61921.09032258065,12702.556989247314
REC -> FOR,23,3,E1,Outside Normal Regimes,43739.68674698795,56324.925,12585.238253012052
PHB -> CNF,15,2,Outside Normal Regimes,A320,56819.92857142857,69325.0,12505.071428571428
GIG -> VCP,23,3,Outside Normal Regimes,Outside Normal Regimes,40834.2987012987,53265.78947368421,12431.490772385514
CNF -> JJD,19,2,A320,Outside Normal Regimes,56952.5,69273.72727272728,12321.22727272728
VCP -> IOS,23,3,A320,Outside Normal Regimes,53763.11111111111,66065.22727272728,12302.11616161617
FOR -> REC,23,3,E1,E2,42913.98765432099,55173.475,12259.487345679008
UBA -> VCP,14,2,Outside Normal Regimes,ATR,18949.636363636364,31152.5,12202.863636363636
IGU -> VCP,23,3,Outside Normal Regimes,A320,53949.05357142857,66088.02,12138.966428571432
CNF -> IMP,23,2,E2,E2,47455.3,59469.625,12014.324999999997
BPS -> VCP,23,3,Outside Normal Regimes,A320,52814.75,64769.5,11954.75
AJU -> VCP,23,3,Outside Normal Regimes,Outside Normal Regimes,53027.5,64830.555555555555,11803.055555555555
REC -> SLZ,23,2,A320,A320,58005.64864864865,69630.0,11624.351351351354
JPA -> CNF,23,3,A320,A320,54962.53846153846,66582.80952380953,11620.271062271066
CXJ -> VCP,23,2,A320,A320,55465.357142857145,67042.31578947368,11576.958646616535
VCP -> BVB,16,2,A321,A321,70996.0,82516.0,11520.0
MCZ -> CNF,23,3,Outside Normal Regimes,A320,55145.137931034486,66659.94736842105,11514.809437386568
IMP -> CNF,23,3,E2,E2,44923.5,56341.882352941175,11418.382352941175
JJD -> CNF,11,3,Outside Normal Regimes,E2,54292.7,65709.72727272728,11417.027272727282
CAC -> VCP,23,3,E1,E2,39723.65625,51117.37142857143,11393.71517857143
SDU -> VCP,23,3,Outside Normal Regimes,Outside Normal Regimes,39288.68,50403.05913978495,11114.379139784949
CKS -> CNF,23,3,E2,A320,55054.692307692305,66054.21875,10999.526442307695
VCP -> SDU,23,3,Outside Normal Regimes,Outside Normal Regimes,39259.75862068965,50219.583333333336,10959.824712643684
CNF -> MCZ,23,3,Outside Normal Regimes,A320,54212.09090909091,65113.454545454544,10901.363636363632
VCP -> IGU,23,3,E2,A320,53294.816326530614,64151.836734693876,10857.020408163262
